Year,Month,Value
2014,1,1.6
2014,2,1.6
2014,3,1.7
2014,4,1.8
2014,5,2.0
2014,6,1.9
2014,7,1.9
2014,8,1.7
2014,9,1.7
2014,10,1.8
2014,11,1.7
2014,12,1.6
2015,1,1.6
2015,2,1.7
2015,3,1.8
2015,4,1.8
2015,5,1.7
2015,6,1.8
2015,7,1.8
2015,8,1.8
2015,9,1.9
2015,10,1.9
2015,11,2.0
2015,12,2.1
2016,1,2.2
2016,2,2.3
2016,3,2.2
2016,4,2.1
2016,5,2.2
2016,6,2.2
2016,7,2.2
2016,8,2.3
2016,9,2.2
2016,10,2.1
2016,11,2.1
2016,12,2.2
2017,1,2.3
2017,2,2.2
2017,3,2.0
2017,4,1.9
2017,5,1.7
2017,6,1.7
2017,7,1.7
2017,8,1.7
2017,9,1.7
2017,10,1.8
2017,11,1.7
2017,12,1.8
2018,1,1.8
2018,2,1.8
2018,3,2.1
2018,4,2.1
2018,5,2.2
2018,6,2.3
2018,7,2.4
2018,8,2.2
2018,9,2.2
2018,10,2.1
2018,11,2.2
2018,12,2.2
2019,1,2.2
2019,2,2.1
2019,3,2.0
2019,4,2.1
2019,5,2.0
2019,6,2.1
2019,7,2.2
2019,8,2.4
2019,9,2.4
2019,10,2.3
2019,11,2.3
2019,12,2.3
2020,1,2.3
2020,2,2.4
2020,3,2.1
2020,4,1.4
2020,5,1.2
2020,6,1.2
2020,7,1.6
2020,8,1.7
2020,9,1.7
2020,10,1.6
2020,11,1.6
2020,12,1.6
2021,1,1.4
2021,2,1.3
2021,3,1.6
2021,4,3.0
2021,5,3.8
2021,6,4.5
2021,7,4.3
2021,8,4.0
2021,9,4.0
2021,10,4.6
2021,11,4.9
2021,12,5.5
2022,1,6.0
2022,2,6.4
2022,3,6.5
2022,4,6.2
2022,5,6.0
2022,6,5.9
2022,7,5.9
2022,8,6.3
2022,9,6.6
2022,10,6.3
2022,11,6.0
2022,12,5.7
2023,1,5.6
2023,2,5.5
2023,3,5.6
2023,4,5.5
2023,5,5.3
2023,6,4.8
2023,7,4.7
2023,8,4.3
2023,9,4.1
2023,10,4.0
2023,11,4.0
2023,12,3.9
2024,1,3.9
2024,2,3.8
2024,3,3.8
2024,4,3.6
2024,5,3.4
2024,6,3.3
2024,7,3.2
2024,8,3.2
2024,9,3.3
