Date,Close/Last,Volume,Open,High,Low
10/25/2024,$166.99 ,14566410,$165.37 ,$167.40 ,$165.23 
10/24/2024,$164.53 ,12764430,$164.59 ,$165.05 ,$162.77 
10/23/2024,$164.48 ,12754280,$166.43 ,$167.60 ,$163.63 
10/22/2024,$166.82 ,11958620,$164.70 ,$167.47 ,$164.67 
10/21/2024,$165.80 ,11384050,$164.58 ,$166.22 ,$164.31 
10/18/2024,$165.05 ,13091270,$164.87 ,$166.37 ,$164.75 
10/17/2024,$164.51 ,15113360,$167.38 ,$167.93 ,$164.37 
10/16/2024,$166.74 ,9968474,$166.03 ,$167.28 ,$165.22 
10/15/2024,$166.90 ,14829340,$167.14 ,$169.09 ,$166.05 
10/14/2024,$166.35 ,9981765,$164.91 ,$167.62 ,$164.78 
10/11/2024,$164.52 ,10945970,$163.33 ,$165.27 ,$162.50 
10/10/2024,$163.18 ,12900490,$162.11 ,$164.31 ,$161.64 
10/9/2024,$163.06 ,19666410,$164.86 ,$166.26 ,$161.12 
10/8/2024,$165.70 ,11723890,$165.43 ,$166.10 ,$164.31 
10/7/2024,$164.39 ,14034720,$169.14 ,$169.90 ,$164.13 
10/4/2024,$168.56 ,11435320,$169.34 ,$169.55 ,$166.96 
10/3/2024,$167.21 ,11004330,$165.82 ,$167.91 ,$165.37 
10/2/2024,$167.31 ,12744980,$167.76 ,$168.88 ,$166.25 
10/1/2024,$168.42 ,18629510,$168.86 ,$170.44 ,$165.90 
9/30/2024,$167.19 ,14083450,$164.78 ,$167.36 ,$164.64 
9/27/2024,$165.29 ,13604260,$163.91 ,$166.97 ,$163.83 
9/26/2024,$163.83 ,18234500,$165.03 ,$165.50 ,$163.50 
9/25/2024,$162.99 ,13607890,$162.97 ,$164.22 ,$162.78 
9/24/2024,$163.64 ,18774060,$164.25 ,$164.55 ,$162.03 
9/23/2024,$163.07 ,15648450,$165.34 ,$166.61 ,$162.95 
9/20/2024,$164.64 ,46362670,$164.52 ,$164.75 ,$163.18 
9/19/2024,$163.24 ,17548190,$164.82 ,$164.99 ,$162.52 
9/18/2024,$160.81 ,16756450,$160.85 ,$161.63 ,$159.66 
9/17/2024,$160.28 ,12064790,$160.09 ,$161.59 ,$159.41 
9/16/2024,$158.99 ,14157610,$158.33 ,$159.24 ,$157.61 
9/13/2024,$158.37 ,16733910,$156.36 ,$159.28 ,$156.11 
9/12/2024,$155.54 ,21024060,$154.81 ,$155.61 ,$153.50 
9/11/2024,$152.15 ,18991490,$151.09 ,$152.48 ,$148.70 
9/10/2024,$150.01 ,20401770,$151.45 ,$152.30 ,$149.54 
9/9/2024,$149.54 ,28057750,$153.63 ,$154.64 ,$148.20 
9/6/2024,$152.13 ,24999060,$158.69 ,$159.22 ,$151.94 
9/5/2024,$158.60 ,14139500,$157.78 ,$161.02 ,$157.52 
9/4/2024,$157.81 ,17410650,$158.08 ,$160.40 ,$157.44 
9/3/2024,$158.61 ,26533110,$163.32 ,$163.38 ,$157.86 
8/30/2024,$165.11 ,18498780,$164.22 ,$165.28 ,$163.41 
8/29/2024,$163.40 ,17133830,$166.06 ,$167.63 ,$161.98 
8/28/2024,$164.50 ,15208740,$166.78 ,$167.39 ,$163.28 
8/27/2024,$166.38 ,13718160,$167.61 ,$168.25 ,$166.16 
8/26/2024,$167.93 ,11990310,$168.16 ,$169.38 ,$166.32 
8/23/2024,$167.43 ,14281620,$166.55 ,$167.95 ,$165.66 
8/22/2024,$165.49 ,19123780,$169.04 ,$169.42 ,$165.03 
8/21/2024,$167.63 ,15269550,$166.99 ,$168.64 ,$166.57 
8/20/2024,$168.96 ,12622520,$168.74 ,$170.41 ,$168.66 
8/19/2024,$168.40 ,13100760,$167.00 ,$168.47 ,$166.09 
8/16/2024,$164.74 ,16853140,$163.41 ,$166.95 ,$163.08 
8/15/2024,$163.17 ,18392450,$162.21 ,$163.52 ,$161.49 
8/14/2024,$162.03 ,22515900,$164.21 ,$164.96 ,$159.53 
8/13/2024,$165.93 ,12717630,$165.19 ,$166.54 ,$164.77 
