Date,AAPL,AMZN,BRK_B,GOOGL,META,MSFT,NVDA,TSLA,UNH,SP_500,CPI,Total nonfarm,Total private,Average weekly earnings,FEDFUNDS,GDP
2014-10,46.94,27.0025,140.9,28.415,74.93,0.478,15.2575,16.1673,95.0,2001.2,2.4289565511268,221,218,850.81,0.09,119.27193766987044
2014-11,47.95,29.8175,148.55,27.35,77.67,0.5247,16.8015,16.3567,98.7,2074.78,2.25631054100233,423,414,853.93,0.09,114.0653816975213
2014-12,46.73,28.205,152.2,26.887,79.54,0.51,15.5775,14.8727,103.12,2082.11,2.3833942455642,329,320,852.2,0.12,111.5470667811874
2015-01,41.55,29.6,145.57,25.95,78.0,0.491,17.316,13.5973,108.62,2019.35,1.94752959883826,221,214,856.7,0.11,136.20482324449296
2015-02,44.13,32.5,148.22,27.9075,80.68,0.5535,19.2,13.7933,113.77,2110.88,1.95449451571832,265,252,858.08,0.11,113.05610342898736
2015-03,40.78,31.5225,145.76,27.897,82.9,0.5353,18.662,12.902,120.8,2084.05,2.43333592636743,84,90,858.02,0.11,103.92798005114676
2015-04,48.7,31.875,141.78,27.928,80.01,0.5508,21.3555,15.3593,113.53,2105.52,2.96265053867684,251,241,859.4,0.12,102.11565116528264
2015-05,47.43,32.8075,144.87,27.66,79.95,0.5535,21.3615,16.7333,120.06,2120.66,2.5012910991095,273,256,861.47,0.12,106.3884471269498
2015-06,44.71,31.3925,137.52,27.2545,86.6,0.506,21.71,17.6533,122.42,2061.19,2.97239956431092,228,226,861.12,0.13,117.36823671265498
2015-07,47.29,30.65,143.31,33.235,94.95,0.5025,26.9545,17.84,120.47,2111.6,1.9220253006031696,277,245,866.04,0.13,128.58899377805108
2015-08,43.56,28.0075,135.09,32.717,90.6,0.5655,25.822,16.3747,117.21,1986.73,1.63579063211565,150,123,869.15,0.14,130.8304081521185
2015-09,43.88,27.5425,129.86,31.5915,88.44,0.5983,25.272,16.8,115.39,1887.14,2.99841569275872,149,162,867.33,0.14,174.3827780193966
2015-10,53.32,30.2475,137.56,37.278,104.51,0.6995,31.3005,14.0267,119.93,2090.0,2.28316449144805,295,304,869.75,0.12,125.16984148381567
2015-11,54.54,29.4975,134.82,38.5935,105.84,0.7855,33.795,15.4527,114.56,2090.95,2.2654806001265,280,279,871.82,0.12,101.82855441190478
2015-12,56.04,26.7525,133.0,39.391,106.0,0.8335,34.304,15.9007,118.64,2060.59,1.83471969623819,262,251,871.82,0.24,113.05754773857936
2016-01,54.73,23.6975,126.66,37.448,108.99,0.7073,28.599,12.6633,111.93,1894.0,2.70841659132004,126,110,877.8,0.34,149.56956583076752
2016-02,51.35,24.215,133.36,36.05,107.6,0.7903,27.7,12.8267,121.1,1947.13,2.53771440127248,237,221,875.61,0.38,155.86569866915775
2016-03,54.95,27.43,142.56,38.417,114.7,0.898,29.964,15.2893,129.64,2063.77,2.22200455864592,225,189,875.82,0.36,166.25021553536848
2016-04,49.35,23.4975,145.4,35.206,116.82,0.9013,33.3,16.5427,131.06,2071.82,3.8254778833095098,153,158,878.58,0.37,144.60067335750838
2016-05,52.26,24.9,143.89,37.438,119.46,1.1525,35.6165,14.8693,134.6,2100.13,3.2805191880404,43,17,880.3,0.37,132.8379989153271
2016-06,50.72,23.61,142.21,34.8825,114.67,1.1683,35.86,14.198,140.68,2073.17,2.10339046055212,297,269,881.33,0.38,243.4853553236003
2016-07,56.26,26.0475,144.09,39.8855,124.65,1.4098,38.25,15.38,141.85,2168.83,2.49016471097936,291,249,884.42,0.39,236.60693330865496
2016-08,57.65,26.415,150.0,39.48,125.6,1.5438,38.33,14.0287,136.55,2173.56,2.7425708907920803,176,143,882.88,0.4,143.51456993818772
2016-09,57.57,28.115,144.27,40.18,128.03,1.6943,41.6305,13.4807,139.18,2156.51,2.49832933493122,249,223,887.86,0.4,149.06824985018687
2016-10,60.16,28.4125,144.3,41.1215,132.01,1.7698,39.0515,13.4993,140.8,2129.78,2.01802556175075,124,132,890.96,0.4,134.14757926041494
2016-11,60.86,27.9,158.42,39.455,120.32,2.34,38.1,12.7333,157.47,2204.97,2.45883151623452,164,178,888.71,0.41,251.39845505863605
2016-12,62.96,29.1625,163.16,40.1605,116.6,2.7837,38.3235,14.42,161.37,2251.61,2.03838510774881,157,165,893.37,0.54,222.4498664076004
2017-01,64.86,30.2875,164.64,40.975,130.17,2.7238,41.1875,16.616,161.62,2274.02,3.43630577482943,259,252,894.06,0.65,265.8672361626442
2017-02,64.08,34.27,170.9,42.3675,136.79,2.62,42.5725,16.2793,165.47,2366.08,3.2923463387532204,200,204,896.81,0.66,202.1801199336247
2017-03,65.65,35.93,167.41,42.3415,142.31,2.7253,43.85,18.582,164.64,2364.82,1.91438367511723,73,68,895.57,0.79,235.45050915024007
2017-04,68.91,36.0225,166.28,46.45,149.5,2.634,47.4415,20.6553,174.61,2393.68,1.55365836257901,175,174,900.25,0.9,181.2809791392561
2017-05,70.53,38.4925,165.27,49.8105,152.7,3.6673,50.0,22.5127,176.89,2415.63,2.1132188709843502,155,165,901.62,0.91,165.9758794745334
2017-06,68.78,36.1125,170.01,47.1995,151.9,3.6845,49.006,24.2473,185.15,2429.2,1.8968337862046696,239,220,903.34,1.04,169.67761730739102
2017-07,73.3,37.475,174.7,48.0,172.0,4.1235,50.9525,22.3667,191.59,2475.94,2.1220936834140702,190,188,906.1,1.15,149.27418062917138
2017-08,74.03,40.91,180.35,47.315,170.4,4.1625,48.735,23.57,196.93,2462.65,2.2747579876520403,221,208,907.82,1.16,140.99289256795578
2017-09,73.94,38.3025,183.59,48.3,168.83,4.477,48.0055,22.7907,195.82,2509.96,2.8702567714483,14,16,909.29,1.15,157.42228566929788
2017-10,84.36,41.975,188.06,51.65,180.57,5.1283,55.45,21.3487,209.39,2575.99,2.4249630240346502,271,277,910.57,1.15,150.5740324320191
